round,trusted_worker_ratio
1,0.214
2,0.214
3,0.214
4,0.214
5,0.2175
6,0.2281
7,0.2351
8,0.2491
9,0.2526
10,0.2667
11,0.2772
12,0.2842
13,0.2877
14,0.2912
15,0.3088
16,0.3228
17,0.3404
18,0.3439
19,0.3474
20,0.3614
21,0.3684
22,0.3684
23,0.3684
24,0.3697
25,0.3697
26,0.3825
27,0.386
28,0.3895
29,0.3895
30,0.393
31,0.4
32,0.4
33,0.4021
34,0.407
35,0.4085
36,0.407
37,0.407
38,0.4091
39,0.4155
40,0.4155
41,0.4155
42,0.4155
43,0.414
44,0.419
45,0.4266
46,0.4281
47,0.4316
48,0.4331
49,0.4351
50,0.4421
51,0.4406
52,0.4456
53,0.4542
54,0.4526
55,0.4526
56,0.4526
57,0.4596
58,0.4596
59,0.4615
60,0.4667
61,0.4667
62,0.4667
63,0.4702
64,0.4772
65,0.4772
66,0.4772
67,0.4772
68,0.4842
69,0.4912
70,0.4912
71,0.4947
72,0.4982
73,0.5035
74,0.5123
75,0.5263
76,0.5298
77,0.5298
78,0.5404
79,0.5404
80,0.5439
81,0.5439
82,0.5439
83,0.5474
84,0.5493
85,0.5474
86,0.5474
87,0.5474
88,0.5474
89,0.5474
90,0.5509
91,0.5528
92,0.5509
93,0.5509
94,0.5544
95,0.5579
96,0.5579
97,0.5579
98,0.5649
99,0.5649
100,0.5649
101,0.5649
102,0.5649
103,0.5649
104,0.5649
105,0.5649
106,0.5649
107,0.5649
108,0.5649
109,0.5649
110,0.5684
111,0.5684
112,0.5684
113,0.5684
114,0.5684
115,0.5719
116,0.5719
117,0.5719
118,0.5719
119,0.5754
120,0.5754
121,0.5754
122,0.5754
123,0.5754
124,0.5754
125,0.5754
126,0.5754
127,0.5754
128,0.5754
129,0.5754
130,0.5754
131,0.5754
132,0.5754
133,0.5754
134,0.5754
135,0.5754
136,0.5754
137,0.5754
138,0.5754
139,0.5754
140,0.5754
141,0.5754
142,0.5754
143,0.5754
144,0.5754
