round,cumulative_trusted_ratio
0,0.6667
1,0.5875
2,0.5867
3,0.5722
4,0.5476
5,0.5778
6,0.5403
7,0.6236
8,0.65
9,0.7222
10,0.7304
11,0.7372
12,0.7384
13,0.7439
14,0.7262
15,0.7348
16,0.7241
17,0.7286
18,0.734
19,0.7446
20,0.7488
21,0.7591
22,0.7711
23,0.797
24,0.8083
25,0.8134
26,0.8182
27,0.8228
28,0.8087
29,0.811
30,0.8129
31,0.8151
32,0.8142
33,0.8184
34,0.8135
35,0.8193
36,0.8212
37,0.8248
38,0.8307
39,0.8339
40,0.8309
41,0.8367
42,0.8353
43,0.8366
44,0.8407
45,0.8445
46,0.8458
47,0.8482
48,0.8486
49,0.8493
50,0.8412
51,0.8325
52,0.8351
53,0.8245
54,0.8214
55,0.8215
56,0.8163
57,0.8174
58,0.8168
59,0.8216
60,0.8214
61,0.8224
62,0.8238
63,0.8243
64,0.8262
65,0.8285
66,0.8202
67,0.8211
68,0.8259
69,0.8275
70,0.8266
71,0.823
72,0.8252
73,0.8295
74,0.8309
75,0.8324
76,0.8345
77,0.8373
78,0.8336
79,0.8349
80,0.8356
81,0.8368
82,0.835
83,0.835
84,0.8363
85,0.8389
86,0.8413
87,0.838
88,0.8385
89,0.8366
90,0.8372
91,0.8394
92,0.8412
93,0.8417
94,0.8413
95,0.8424
96,0.8405
97,0.8415
98,0.842
99,0.8426
100,0.8443
101,0.8415
102,0.8386
103,0.84
104,0.841
105,0.8416
106,0.8431
107,0.8442
108,0.8454
109,0.8478
110,0.8487
111,0.8489
112,0.8495
113,0.8504
114,0.8513
115,0.8522
116,0.8539
117,0.8564
118,0.8584
119,0.8591
120,0.8603
121,0.8615
122,0.8626
123,0.8637
124,0.8648
125,0.8659
126,0.8666
127,0.8673
128,0.8683
129,0.8703
130,0.871
131,0.8713
132,0.8716
133,0.8726
134,0.873
