round,data_quality
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,1.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,1.0
24,0.0
25,0.0
26,0.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.5
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,1.0
41,1.0
42,0.0
43,1.0
44,0.0
45,1.0
46,0.0
47,0.0
48,0.2
49,0.0
50,1.0
51,1.0
52,0.6667
53,1.0
54,1.0
55,0.0
56,0.5
57,0.0
58,1.0
59,0.6667
60,1.0
61,0.4
62,0.3333
63,0.5
64,0.8
65,0.0
66,1.0
67,0.6667
68,0.6
69,0.5
70,0.8571
71,0.75
72,1.0
73,0.75
74,0.875
75,1.0
76,0.8
77,0.5
78,0.5
79,0.5
80,0.375
81,1.0
82,0.5714
83,0.4444
84,0.7692
85,0.7778
86,0.75
87,0.9091
88,1.0
89,0.7778
90,0.875
91,0.6667
92,0.5714
93,0.75
94,0.8
95,0.625
96,0.7273
97,0.6667
98,0.5385
99,0.5714
100,0.4615
101,0.75
102,0.7143
103,0.625
104,0.4286
105,0.4545
106,1.0
107,0.9
108,0.8571
109,0.5714
110,0.7778
111,0.9
112,0.6667
113,1.0
114,0.8889
115,0.9286
116,0.5
117,1.0
118,0.5714
119,0.875
120,0.7273
121,0.9
122,0.8182
123,0.8
124,0.6667
125,0.7778
126,0.7
127,0.9286
128,0.7778
129,0.1111
130,1.0
131,0.7778
132,0.6667
133,1.0
134,0.9
135,1.0
136,0.4444
137,0.3636
138,0.8889
139,0.5
140,0.7143
141,0.9167
142,0.8571
143,0.3
